Object_ID,Length,Gamma,1st_assignment,score1,2nd_assignment,score2,confidence
SRR7497167.386,2508,0,NA,0,NA,0,0
SRR7497167.387,5747,0.000174795,5833,1,NA,0,1
SRR7497167.388,9369,0,NA,0,NA,0,0
SRR7497167.389,5543,0,NA,0,NA,0,0
SRR7497167.390,5750,0,NA,0,NA,0,0
SRR7497167.391,3819,0,NA,0,NA,0,0
SRR7497167.392,3672,0,NA,0,NA,0,0
SRR7497167.393,3023,0,NA,0,NA,0,0
SRR7497167.394,4437,0,NA,0,NA,0,0
SRR7497167.395,3174,0,NA,0,NA,0,0
SRR7497167.396,9149,0,NA,0,NA,0,0
SRR7497167.397,623,0,NA,0,NA,0,0
SRR7497167.398,3922,0,NA,0,NA,0,0
SRR7497167.399,5438,0,NA,0,NA,0,0
SRR7497167.400,2084,0,NA,0,NA,0,0
SRR7497167.401,518,0,NA,0,NA,0,0
SRR7497167.402,2463,0,NA,0,NA,0,0
SRR7497167.403,575,0,NA,0,NA,0,0
SRR7497167.404,2134,0,NA,0,NA,0,0
SRR7497167.405,1729,0,NA,0,NA,0,0
SRR7497167.406,2364,0,NA,0,NA,0,0
SRR7497167.407,2854,0,NA,0,NA,0,0
SRR7497167.408,7501,0,NA,0,NA,0,0
SRR7497167.409,1567,0,NA,0,NA,0,0
SRR7497167.410,4800,0,NA,0,NA,0,0
SRR7497167.411,4531,0,NA,0,NA,0,0
SRR7497167.412,2041,0,NA,0,NA,0,0
SRR7497167.413,1447,0,NA,0,NA,0,0
SRR7497167.414,6964,0,NA,0,NA,0,0
SRR7497167.415,4211,0,NA,0,NA,0,0
SRR7497167.416,2466,0,NA,0,NA,0,0
SRR7497167.417,2520,0,NA,0,NA,0,0
SRR7497167.418,9226,0,NA,0,NA,0,0
SRR7497167.419,1049,0,NA,0,NA,0,0
SRR7497167.420,4359,0,NA,0,NA,0,0
SRR7497167.421,9234,0,NA,0,NA,0,0
SRR7497167.422,937,0,NA,0,NA,0,0
SRR7497167.423,4461,0,NA,0,NA,0,0
SRR7497167.424,2785,0,NA,0,NA,0,0
SRR7497167.425,1800,0,NA,0,NA,0,0
SRR7497167.426,1062,0,NA,0,NA,0,0
SRR7497167.427,1918,0,NA,0,NA,0,0
SRR7497167.428,4436,0,NA,0,NA,0,0
SRR7497167.429,4209,0,NA,0,NA,0,0
SRR7497167.430,4652,0,NA,0,NA,0,0
SRR7497167.431,1299,0,NA,0,NA,0,0
SRR7497167.432,4885,0,NA,0,NA,0,0
SRR7497167.433,3672,0,NA,0,NA,0,0
SRR7497167.434,3638,0,NA,0,NA,0,0
SRR7497167.435,3248,0,NA,0,NA,0,0
SRR7497167.436,1160,0,NA,0,NA,0,0
SRR7497167.437,1494,0,NA,0,NA,0,0
SRR7497167.438,800,0,NA,0,NA,0,0
SRR7497167.439,5204,0,NA,0,NA,0,0
SRR7497167.440,1946,0,NA,0,NA,0,0
SRR7497167.441,4340,0,NA,0,NA,0,0
SRR7497167.442,5006,0,NA,0,NA,0,0
SRR7497167.443,1200,0,NA,0,NA,0,0
SRR7497167.444,5861,0,NA,0,NA,0,0
SRR7497167.445,7271,0,NA,0,NA,0,0
SRR7497167.446,3308,0,NA,0,NA,0,0
SRR7497167.447,619,0,NA,0,NA,0,0
SRR7497167.448,4224,0,NA,0,NA,0,0
SRR7497167.449,4971,0,NA,0,NA,0,0
SRR7497167.450,2093,0.00145138,5833,3,NA,0,1
SRR7497167.451,4557,0,NA,0,NA,0,0
SRR7497167.452,1304,0,NA,0,NA,0,0
SRR7497167.453,2344,0,NA,0,NA,0,0
SRR7497167.454,3827,0,NA,0,NA,0,0
SRR7497167.455,2072,0,NA,0,NA,0,0
SRR7497167.456,5125,0,NA,0,NA,0,0
SRR7497167.457,6825,0,NA,0,NA,0,0
SRR7497167.458,4173,0,NA,0,NA,0,0
SRR7497167.459,5746,0,NA,0,NA,0,0
SRR7497167.460,5596,0,NA,0,NA,0,0
SRR7497167.461,934,0,NA,0,NA,0,0
SRR7497167.462,1128,0,NA,0,NA,0,0
SRR7497167.463,1672,0,NA,0,NA,0,0
SRR7497167.464,5299,0,NA,0,NA,0,0
SRR7497167.465,391,0,NA,0,NA,0,0
SRR7497167.466,2402,0,NA,0,NA,0,0
SRR7497167.467,6074,0.000496032,5501,3,NA,0,1
SRR7497167.468,1829,0,NA,0,NA,0,0
SRR7497167.469,1847,0,NA,0,NA,0,0
SRR7497167.470,7241,0.000831601,5833,6,NA,0,1
SRR7497167.471,1215,0,NA,0,NA,0,0
SRR7497167.472,2502,0,NA,0,NA,0,0
SRR7497167.473,2905,0,NA,0,NA,0,0
SRR7497167.474,943,0,NA,0,NA,0,0
SRR7497167.475,2127,0,NA,0,NA,0,0
SRR7497167.476,2699,0,NA,0,NA,0,0
SRR7497167.477,1268,0,NA,0,NA,0,0
SRR7497167.478,3042,0.000331565,287,1,NA,0,1
SRR7497167.479,520,0,NA,0,NA,0,0
SRR7497167.480,1718,0,NA,0,NA,0,0
SRR7497167.481,1529,0,NA,0,NA,0,0
SRR7497167.482,1396,0,NA,0,NA,0,0
SRR7497167.483,2700,0,NA,0,NA,0,0
SRR7497167.484,13171,0,NA,0,NA,0,0
SRR7497167.485,1618,0,NA,0,NA,0,0
SRR7497167.486,2706,0,NA,0,NA,0,0
SRR7497167.487,11961,0.000335149,5833,4,NA,0,1
SRR7497167.488,4210,0,NA,0,NA,0,0
SRR7497167.489,7433,0,NA,0,NA,0,0
SRR7497167.490,4268,0,NA,0,NA,0,0
SRR7497167.491,6479,0,NA,0,NA,0,0
SRR7497167.492,1089,0,NA,0,NA,0,0
SRR7497167.493,768,0,NA,0,NA,0,0
