Object_ID, Length, Assignment
SRR7497167.573,3733,NA
SRR7497167.574,3147,NA
SRR7497167.575,1656,NA
SRR7497167.576,4193,NA
SRR7497167.577,6179,5833
SRR7497167.578,7319,NA
SRR7497167.579,1080,NA
SRR7497167.580,1260,NA
SRR7497167.581,5435,NA
SRR7497167.582,724,NA
SRR7497167.583,6219,NA
SRR7497167.584,5035,5833
SRR7497167.585,4031,NA
SRR7497167.586,1520,NA
SRR7497167.587,886,NA
SRR7497167.588,515,NA
SRR7497167.589,8687,NA
SRR7497167.590,2700,NA
SRR7497167.591,3003,NA
SRR7497167.592,1763,NA
SRR7497167.593,4102,NA
SRR7497167.594,2113,NA
SRR7497167.595,3221,NA
SRR7497167.596,6614,NA
SRR7497167.597,867,NA
SRR7497167.598,2694,NA
SRR7497167.599,4541,NA
SRR7497167.600,3260,NA
SRR7497167.601,3463,NA
SRR7497167.602,8740,5833
SRR7497167.603,9588,NA
SRR7497167.604,907,NA
SRR7497167.605,1228,NA
SRR7497167.606,4410,NA
SRR7497167.607,2735,NA
SRR7497167.608,845,NA
SRR7497167.609,875,NA
SRR7497167.610,10788,NA
SRR7497167.611,11946,NA
SRR7497167.612,5671,NA
SRR7497167.613,1458,NA
SRR7497167.614,4269,NA
SRR7497167.615,6795,NA
SRR7497167.616,5449,NA
SRR7497167.617,7059,NA
SRR7497167.618,3604,5833
SRR7497167.619,7263,NA
SRR7497167.620,1720,NA
SRR7497167.621,567,NA
SRR7497167.622,10829,NA
SRR7497167.623,2547,NA
SRR7497167.624,1079,NA
SRR7497167.625,2593,NA
SRR7497167.626,5566,NA
SRR7497167.627,4105,470
SRR7497167.628,1188,NA
SRR7497167.629,5287,NA
SRR7497167.630,1313,NA
SRR7497167.631,5279,NA
SRR7497167.632,7647,NA
SRR7497167.633,11115,NA
SRR7497167.634,4119,NA
SRR7497167.635,2333,NA
SRR7497167.636,758,NA
SRR7497167.637,4054,562
SRR7497167.638,5041,NA
SRR7497167.639,8146,550
SRR7497167.640,288,NA
SRR7497167.641,2331,NA
SRR7497167.642,3870,NA
SRR7497167.643,2308,NA
SRR7497167.644,755,NA
SRR7497167.645,8296,NA
SRR7497167.646,1718,NA
SRR7497167.647,3327,NA
SRR7497167.648,2062,NA
SRR7497167.649,3280,NA
SRR7497167.650,646,NA
SRR7497167.651,1557,NA
SRR7497167.652,3471,NA
SRR7497167.653,10593,5833
