Name,TaxID,Lineage,Count,Proportion_All(%),Proportion_Classified(%)
Lysobacter enzymogenes,69,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Lysobacter; Lysobacter enzymogenes,2,0.000467,0.013768
Vitreoscilla,59,cellular organisms; Bacteria; Pseudomonadota; Betaproteobacteria; Neisseriales; Neisseriaceae; Vitreoscilla,2,0.000467,0.013768
Planomicrobium okeanokoites,244,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Planococcaceae; Planomicrobium; Planomicrobium okeanokoites,2,0.000467,0.013768
Unknown (taxid 74),74,taxid_74,2,0.000467,0.013768
Unknown (taxid 265223768),265223768,taxid_265223768,1,0.000234,0.006884
Unknown (taxid 333655798),333655798,taxid_333655798,1,0.000234,0.006884
Unknown (taxid 157965641),157965641,taxid_157965641,1,0.000234,0.006884
Yersinia pseudotuberculosis,633,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex; Yersinia pseudotuberculosis,1,0.000234,0.006884
Helicobacter fennelliae,215,cellular organisms; Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter; Helicobacter fennelliae,1,0.000234,0.006884
Glaesserella parasuis,738,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Glaesserella; Glaesserella parasuis,1,0.000234,0.006884
Unknown (taxid 7524433),7524433,taxid_7524433,1,0.000234,0.006884
Unknown (taxid 17666),17666,taxid_17666,1,0.000234,0.006884
Unknown (taxid 601000),601000,taxid_601000,1,0.000234,0.006884
Salmonella enterica subsp. enterica serovar Potsdam,597,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica; Salmonella enterica subsp. enterica; Salmonella enterica subsp. enterica serovar Potsdam,1,0.000234,0.006884
Fervidobacterium nodosum,2424,cellular organisms; Bacteria; Thermotogota; Thermotogae; Thermotogales; Fervidobacteriaceae; Fervidobacterium; Fervidobacterium nodosum,1,0.000234,0.006884
Unknown (taxid 20334),20334,taxid_20334,1,0.000234,0.006884
Eupomatiaceae,22299,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliopsida; Mesangiospermae; Magnoliidae; Magnoliales; Eupomatiaceae,1,0.000234,0.006884
Sternarchella,36675,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Actinopterygii; Actinopteri; Neopterygii; Teleostei; Osteoglossocephalai; Clupeocephala; Otomorpha; Ostariophysi; Otophysi; Characiphysae; Gymnotiformes; Sternopygoidei; Apteronotidae; Sternarchella,1,0.000234,0.006884
Acidiphilium sp.,527,cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acidiphilium; unclassified Acidiphilium; Acidiphilium sp.,1,0.000234,0.006884
Rhodopseudomonas sp.,1078,cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Nitrobacteraceae; Rhodopseudomonas; unclassified Rhodopseudomonas; Rhodopseudomonas sp.,1,0.000234,0.006884
